,name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365
3808,Cozy studio at heart of Williamsburg,Lauren,Brooklyn,Williamsburg,40.71223,-73.96025,Entire home/apt,150,4,5,2019-01-02,1,0
3809,"Cozy Quiet/NYC, Brooklyn apt next to subway!!",Valerie,Brooklyn,Bedford-Stuyvesant,40.68234,-73.94943,Entire home/apt,152,3,132,2019-06-24,2,321
3810,The Yellow CropTop in Harlem NYC,Virginia,Manhattan,Harlem,40.812740000000005,-73.9455,Private room,147,1,3,2019-04-22,2,57
3811,Private Large Bedroom in Brooklyn,Marta,Brooklyn,Crown Heights,40.66655,-73.95005,Private room,85,2,7,2019-07-03,2,27
3812,Astoria-LIC Private Room,Cesar,Queens,Long Island City,40.76053,-73.92976999999999,Private room,78,2,27,2017-08-21,1,0
3813,Large Victorian in Brooklyn - Downstairs 2 Beds,Beryl,Brooklyn,East Flatbush,40.63948,-73.95008,Private room,50,1,35,2019-06-16,2,365
3814,Cozy and Sunny 2 bedroom apartment,Thiago,Manhattan,Harlem,40.80495,-73.9556,Entire home/apt,224,4,29,2019-06-09,2,0
3815,Brooklyn Hostel bedroom 2. Bed 1,Melissa,Brooklyn,Bedford-Stuyvesant,40.69405,-73.95591999999999,Shared room,38,1,12,2019-06-08,34,360
3816,Super Cozy Luxury Apt,Heidi,Manhattan,Financial District,40.704640000000005,-74.00715,Entire home/apt,220,2,108,2019-07-01,1,225
3817,"Light, airy and spacious Apartment close to all",Siddhartha,Brooklyn,Gowanus,40.67965,-73.98899,Entire home/apt,150,5,2,2019-04-25,1,16
3818,Williamsburg Micro Guest House,Amanda,Brooklyn,Williamsburg,40.71815,-73.95834,Private room,75,1,24,2019-07-03,1,201
3819,Amazing Studio in Brooklyn Heights,Feliz,Brooklyn,Brooklyn Heights,40.69218,-73.99124,Entire home/apt,110,2,1,2016-05-23,1,0
3820,Charming 1br in of NYC's best Neighborhood!,Jon,Manhattan,NoHo,40.7256,-73.99445,Entire home/apt,234,20,29,2019-04-30,1,302
3821,Zen & Cozy Room In Astoria,Evelyn,Queens,Ditmars Steinway,40.78569,-73.91521999999999,Private room,42,3,11,2019-07-02,1,244
3822,Gorgeous spacious. 2 subways close,Marialuisa,Brooklyn,Bedford-Stuyvesant,40.6842,-73.9177,Private room,59,1,123,2019-06-30,1,336
3823,Cozy Private Bedroom in Upper West Side,Aaron,Manhattan,Upper West Side,40.8014,-73.96563,Private room,130,1,9,2019-07-07,3,79
3824,Modern Room with private bathroom in spacious apt,Tyler,Brooklyn,Greenpoint,40.71937,-73.95331999999999,Private room,99,3,3,2017-10-28,1,0
3825,Newly Renovated 1BR in SoHo/Nolita,James,Manhattan,Nolita,40.72344,-73.99592,Entire home/apt,225,7,1,2018-06-28,1,0
3826,NYC Garden Escape (2 min to subway),John,Manhattan,Harlem,40.81264,-73.94601999999999,Entire home/apt,225,2,55,2019-06-16,1,133
3827,Beautiful apartment steps away from Central Park,Stewart,Manhattan,Upper West Side,40.79617,-73.96228,Entire home/apt,125,2,0,,1,0
3828,Cozy quarters for your getaway!,Kam,Manhattan,Gramercy,40.73629,-73.98753,Entire home/apt,165,6,10,2019-07-02,1,43
3829,Bushwickian Paradise,Andrew,Brooklyn,Bushwick,40.69243,-73.90741,Entire home/apt,100,2,3,2019-06-16,1,35
3830,Williamsburg Loft,Sophie,Brooklyn,Williamsburg,40.71779,-73.96337,Private room,129,2,0,,1,0
3831,A Cozy Artsy Apartment in the heart of Sunnyside,Vasko,Queens,Sunnyside,40.7437,-73.91983,Entire home/apt,100,3,0,,1,0
3832,Sunny Upper East Side Escape,Caroline,Manhattan,Upper East Side,40.76749,-73.95470999999999,Private room,95,4,101,2019-06-26,1,49
3833,"Sunfilled, clean, MONTHly discount",Sabina,Queens,Woodside,40.74457,-73.90474,Private room,80,14,0,,1,0
3834,Modern Condo in Heart of Harlem,Fma,Manhattan,East Harlem,40.79922,-73.94677,Private room,120,3,0,,2,0
3835,Upper East Side Studio,Angela,Manhattan,Upper East Side,40.77626,-73.95246,Entire home/apt,125,1,7,2016-10-03,1,0
3836,Enchanting 1BR near Times Sq w/ Indoor pool + Gym by Blueground,Blueground,Manhattan,Theater District,40.76196,-73.98536,Entire home/apt,280,30,2,2019-05-16,232,218
3837,1BR Guest Suite with private entrance,Joel,Queens,Queens Village,40.718990000000005,-73.75347,Entire home/apt,45,3,27,2019-06-24,1,304
3838,Penthouse 1 bedroom in LIC,Cherie,Queens,Long Island City,40.75094,-73.93806,Entire home/apt,107,3,4,2018-11-25,1,0
3839,Vibrant room in Bushwick with lots of light,Vladimir,Brooklyn,Bushwick,40.69862,-73.92849,Private room,60,7,1,2018-11-28,1,173
3840,Waterfront in Williamsburg,Tara,Brooklyn,Williamsburg,40.709990000000005,-73.9689,Private room,100,1,0,,1,0
3841,One room available in apartment,Juliann,Manhattan,Hell's Kitchen,40.76112,-73.99075,Private room,70,1,0,,1,0
3842,Greenpoint Brooklyn Modern Charm,Robbin,Brooklyn,Greenpoint,40.72176,-73.94393000000001,Entire home/apt,165,2,129,2019-06-06,2,235
3843,Spacious creative waterfront loft,Farrah,Brooklyn,Greenpoint,40.73431,-73.95928,Entire home/apt,140,2,3,2016-12-21,1,0
3844,"Quaint, sunny, and quiet room overlooking garden.",Amey,Queens,Sunnyside,40.73967,-73.92367,Private room,50,2,7,2016-11-13,1,0
3845,Charming studio in the heart of Williamsburg,Jill,Brooklyn,Williamsburg,40.71673,-73.94442,Entire home/apt,101,2,7,2019-02-09,1,0
3846,vicky客栈3,Vicky,Queens,Flushing,40.74294,-73.82318000000001,Private room,49,1,25,2019-07-05,5,46
3847,Sofa Bed Available in Midtown Manhattan,Arnie,Manhattan,Hell's Kitchen,40.76455,-73.99128,Shared room,30,3,0,,1,0
3848,"Clean, Safe, Convenient, Comfy",Michael,Manhattan,Harlem,40.80699,-73.94227,Shared room,200,1,8,2016-09-29,1,180
3849,Subway. Ocean. Parking,Alex & Alena,Brooklyn,Gravesend,40.5888,-73.97278,Private room,70,3,46,2019-06-13,2,92
3850,**Fantastic Williamsburg Apt**,Luis Fernando,Brooklyn,Williamsburg,40.71031,-73.9583,Entire home/apt,140,2,9,2019-02-16,1,254
3851,Three bedroom upscale condo,Donna,Bronx,Riverdale,40.88579,-73.91599000000001,Entire home/apt,250,7,2,2019-01-02,1,338
3852,Upper East Side Full 1-Bedroom Apartment,Julia,Manhattan,Upper East Side,40.7709,-73.95508000000001,Entire home/apt,130,7,5,2019-07-06,1,14
3853,Olive's Guest Quarters #3,Arline,Brooklyn,Flatlands,40.6313,-73.94534,Private room,175,2,4,2019-06-18,3,43
3854,Charming brownstone top floor 1BD,Allegra,Brooklyn,Park Slope,40.66981,-73.98461999999999,Entire home/apt,94,10,26,2019-06-22,1,0
3855,Large comfy room in Victorian home,Mary,Brooklyn,Bedford-Stuyvesant,40.6857,-73.95595,Private room,89,5,28,2019-06-15,3,282
3856,New York Masterpiece,Martha,Queens,Rego Park,40.73541,-73.85632,Entire home/apt,145,3,88,2019-06-17,1,321
3857,True 1BR in East Village with City Views,Kahrej,Manhattan,East Village,40.72348,-73.98321999999999,Entire home/apt,175,3,3,2019-01-01,1,0
3858,Spacious 1 bedroom in Bensonhurst - Sleeps 4,Kel,Brooklyn,Bensonhurst,40.6065,-73.99916999999999,Entire home/apt,113,3,13,2019-05-27,2,118
3859,"Spacious Williamsburg, Brooklyn Spare Room",Michael,Brooklyn,Williamsburg,40.71952,-73.94165,Private room,70,2,41,2019-06-30,1,14
3860,Private Room in Cozy Brooklyn Apt. for Female,Anna,Brooklyn,Bedford-Stuyvesant,40.68105,-73.95783,Private room,40,7,16,2019-05-18,1,221
3861,Experience the cozy #VanLife in NYC/East Village!,Nancy,Manhattan,East Village,40.72609,-73.98354,Entire home/apt,89,1,10,2019-06-24,2,173
3862,Trendy & spacious Williamsburg Apt,Markus,Brooklyn,Williamsburg,40.71178,-73.95779,Private room,95,2,0,,1,0
3863,Freehand New York- Bunk Room,Freehand,Manhattan,Flatiron District,40.74107,-73.98693,Private room,179,1,35,2019-05-26,3,331
3864,"Luxury 2BR, Prime Location, 20 Min to Manhattan",Asaf,Brooklyn,Crown Heights,40.67051,-73.95851,Entire home/apt,180,2,2,2017-06-11,1,0
3865,Cozy private studio 10m fr LGA 30m to Manhattan,Olenka,Queens,Maspeth,40.7322,-73.89944,Entire home/apt,86,2,78,2019-06-29,1,149
3866,"Breathtaking, panoramic views of Downtown NYC/FiDi",Mike,Manhattan,Financial District,40.70951,-74.01476,Entire home/apt,125,32,99,2019-05-29,1,203
3867,East Harlem Studio Sleeps 3,Danyelle,Manhattan,Harlem,40.81709,-73.93866,Entire home/apt,125,1,0,,1,69
3868,4min subway.free parking big private room温馨漂亮大睡房,美德,Queens,Forest Hills,40.719840000000005,-73.83969,Private room,78,2,28,2019-07-03,5,205
3869,Sonder | 116 John | Charming 1BR + Gym,Sonder,Manhattan,Financial District,40.70688,-74.00523000000001,Entire home/apt,194,29,0,,96,343
3870,Newly Renovated 1 BR,Stephen,Manhattan,Lower East Side,40.7195,-73.99416,Private room,167,5,32,2018-09-14,1,341
3871,My NYC Dream Home II,Sandra,Brooklyn,Bedford-Stuyvesant,40.69023,-73.92746,Entire home/apt,175,3,2,2019-07-01,1,329
3872,,Kathleen,Brooklyn,Bushwick,40.69546,-73.92741,Entire home/apt,110,4,5,2018-08-13,1,0
3873,Junior 1-BR in West Village,Amanda,Manhattan,West Village,40.73075,-74.00238,Entire home/apt,110,45,21,2018-01-02,1,0
3874,Entire 1BR APT in historic Clinton Hill Brownstone,Kyle,Brooklyn,Clinton Hill,40.68246,-73.9643,Entire home/apt,195,2,2,2019-05-19,1,44
3875,Luxurious Suite Grand Central,Ian,Manhattan,Murray Hill,40.74929,-73.97827,Entire home/apt,150,30,3,2018-11-23,4,113
3876,LOVELY APARTMENT IN THE HEART OF NY,Shon,Manhattan,Kips Bay,40.73877,-73.97707,Entire home/apt,125,4,1,2012-01-03,3,181
3877,Chateau Upon Metro - large sunny 1bd near train,Anthony,Brooklyn,Kensington,40.64588,-73.97831,Private room,43,2,0,,1,0
3878,Luxury studio Bedstuy Brooklyn,Joel,Brooklyn,Bedford-Stuyvesant,40.68757,-73.93032,Entire home/apt,70,2,77,2019-06-29,1,274
3879,Hidden Gem in Canarsie-FREE private parking,Rodolfo,Brooklyn,Canarsie,40.64516,-73.89684,Entire home/apt,100,1,95,2019-07-08,1,124
3880,"Beautiful, large and sunny bedroom",Dani,Brooklyn,Bedford-Stuyvesant,40.68847,-73.95634,Private room,32,1,0,,1,0
3881,East Village / Alphabet City 1BR,Kevin,Manhattan,East Village,40.72208,-73.97779,Entire home/apt,185,1,17,2019-05-05,1,11
3882,Spacious & Private Apt steps to Prospect Park,Jeanne,Brooklyn,Prospect-Lefferts Gardens,40.65891,-73.95886999999999,Entire home/apt,150,2,68,2019-07-05,2,32
3883,Clean Beautiful New apartment renovated in 2019,Hiroki,Manhattan,Inwood,40.86507,-73.92348,Private room,35,29,0,,37,31
3884,1 bedroom,Fidel,Manhattan,Washington Heights,40.85025,-73.94105,Private room,40,1,27,2019-06-17,1,49
3885,The authentic TriBeCa artist loft experience!,Micheal,Manhattan,Tribeca,40.71742,-74.00395999999999,Entire home/apt,485,3,14,2019-01-01,1,54
3886,"Cozy Studio in Manhattan, Upper East Side",Marie,Manhattan,Upper East Side,40.77064,-73.95606,Entire home/apt,250,1,7,2019-06-30,1,188
3887,"1 bedroom, entire apartment, in upper Manhattan",Keyonna,Manhattan,Washington Heights,40.83229,-73.94339000000001,Entire home/apt,66,5,8,2018-12-27,1,0
3888,3BDR architect's garden home,Julien,Brooklyn,Park Slope,40.67365,-73.9814,Entire home/apt,350,3,5,2019-02-19,1,22
3889,Brooklyn Apartment Windsor Terrace,Helen,Brooklyn,Windsor Terrace,40.660340000000005,-73.9829,Entire home/apt,142,3,120,2019-07-01,1,222
3890,Private cozy room By Yankee stadium,Jovid,Bronx,Claremont Village,40.84355,-73.91103000000001,Private room,55,1,8,2019-06-17,1,358
3891,Comfortable-Private one room in LES,Denis,Manhattan,Lower East Side,40.71881,-73.98881999999999,Private room,99,2,48,2018-02-03,1,0
3892,Studio apt in Historic House Museum,George,Manhattan,Washington Heights,40.83549,-73.93968000000001,Entire home/apt,120,3,10,2019-07-01,2,244
3893,Staten Island NYC Marathon,Elizabeth,Staten Island,Shore Acres,40.60597,-74.06208000000001,Private room,300,1,0,,1,0
3894,LYRIC - Hotel Studio Suite with Kitchen,Lyric At 70 Pine,Manhattan,Financial District,40.70722,-74.00873,Entire home/apt,219,1,36,2019-07-07,8,321
3895,Bright Midtown East,Rory,Manhattan,Midtown,40.76085,-73.96627,Entire home/apt,180,2,2,2019-06-10,1,4
3896,Sunny 1BR Near Train (Greenpoint/Williamsburg),Max,Brooklyn,Greenpoint,40.72686,-73.95246,Entire home/apt,199,6,2,2017-07-14,1,0
3897,Studio in Midtown East (1 q+couch),Ema,Manhattan,Midtown,40.75249,-73.96866,Entire home/apt,120,4,3,2016-07-10,1,0
3898,Shared room y Times Square,Erik,Manhattan,Hell's Kitchen,40.76483,-73.98975,Shared room,85,1,12,2019-06-27,9,349
3899,Sunny and Airy FiDi Studio,Victoria,Manhattan,Financial District,40.71103,-74.00845,Entire home/apt,200,2,74,2019-06-24,1,35
3900,Cambridge Place 4 bed Home,Katherine,Brooklyn,Clinton Hill,40.68384,-73.96200999999999,Entire home/apt,350,2,4,2017-08-06,1,0
3901,Super relaxing West Village 1BR w/private terrace,Nicolas,Manhattan,West Village,40.73435,-74.0066,Entire home/apt,199,30,32,2018-10-06,1,343
3902,Visit the Big Apple! Mini-MOMA. Enjoy all of NYC!,Shannon,Manhattan,Harlem,40.806740000000005,-73.95336999999999,Private room,75,1,60,2019-06-27,2,182
3903,Cute Greenpoint room,Louise,Brooklyn,Greenpoint,40.734190000000005,-73.95675,Private room,60,3,1,2017-01-02,1,0
3904,Quite clean queen size bedroom,Max,Manhattan,Harlem,40.82039,-73.94402,Private room,50,3,4,2019-05-23,1,9
3905,Sobro,Adriana,Bronx,Mott Haven,40.80689,-73.91436999999999,Entire home/apt,100,3,4,2019-07-01,1,330
3906,Cute Apartment with Great Bathroom!,AFI Apartments,Manhattan,Upper East Side,40.77107,-73.95682,Entire home/apt,117,30,6,2019-03-31,29,255
3907,Two Bed Brownstone in the Heart of Brooklyn!,Laura,Brooklyn,Carroll Gardens,40.6845,-73.99024,Entire home/apt,175,4,4,2017-12-26,2,0
3908,Charming and Cozy Studio Apartment!!,Kathleen,Manhattan,East Village,40.7283,-73.98589,Entire home/apt,130,3,1,2019-06-23,1,4
3909,Cute Hells Kitchen Apt. w Balcony,Alana,Manhattan,Hell's Kitchen,40.76192,-73.99698000000001,Entire home/apt,400,3,14,2019-03-31,1,0
3910,Charming studio near Little Italy!,Ariel,Manhattan,Nolita,40.72342,-73.99292,Entire home/apt,95,30,13,2019-05-04,9,137
3911,Lovely room in convenient location. J/M & L trains,Julie,Brooklyn,Bushwick,40.70089,-73.93903,Private room,51,1,33,2019-06-28,1,19
3912,Sun Filled Oasis,Savannah,Brooklyn,Bedford-Stuyvesant,40.68987,-73.94484,Private room,80,4,1,2018-12-22,1,325
3913,Brooklyn Basement,April,Brooklyn,Gowanus,40.67087,-73.99305,Entire home/apt,75,2,7,2019-07-07,1,7
3914,A ROOM DESIGNED JUST FOR YOU,Stephanie,Brooklyn,Bedford-Stuyvesant,40.68337,-73.93056999999999,Private room,55,2,9,2019-04-04,1,319
3915,Private RM | Queens | 20min to city,Victoria,Queens,Sunnyside,40.74532,-73.91974,Private room,75,2,3,2015-07-23,1,0
3916,Best Deal/Columbus Circle/Renovated,Mike,Manhattan,Hell's Kitchen,40.76866,-73.98616,Entire home/apt,87,30,6,2018-10-04,52,365
3917,"Large, Bright, Full Home in Greenpoint w/ Backyard",Shelley,Brooklyn,Greenpoint,40.73279,-73.954,Entire home/apt,240,2,1,2019-04-28,1,7
3918,Upper East Side Brand New Apt,Mohine,Manhattan,Upper East Side,40.78173,-73.94621,Private room,185,1,0,,1,0
3919,Renovated apartment near 1 train ( & Columbia),Anna Laura,Manhattan,Harlem,40.81668,-73.9569,Private room,65,1,1,2019-07-06,3,17
3920,哥大附近卧室 Room on Upper West/Columbia,Siyu,Manhattan,Upper West Side,40.80205,-73.9658,Private room,36,15,1,2016-08-01,1,0
3921,"Perfect, 1 block from Central Park",Michael,Manhattan,Upper West Side,40.78787,-73.97116,Entire home/apt,200,3,6,2017-07-17,1,0
3922,10 mins/Airports JFK/LGA/Hosp/malls bus/train# 1,Seeranie,Queens,Richmond Hill,40.69104,-73.82204,Private room,50,1,102,2019-06-23,2,354
3923,2BR fully furnished in the UES - minimum 30 days,Elem,Manhattan,Upper East Side,40.78316,-73.94662,Entire home/apt,175,30,4,2018-08-04,15,343
3924,Beautiful Room in Historic Hamilton Heights,Yasmin,Manhattan,Harlem,40.82265,-73.94686,Private room,55,21,7,2019-04-30,1,286
3925,It's Always Sunny in Bed-Stuy!,Andrew,Brooklyn,Bedford-Stuyvesant,40.67653,-73.90814,Private room,48,1,106,2019-07-01,5,243
3926,Large and bright one bedroom in bedstuy,Julie,Brooklyn,Bedford-Stuyvesant,40.69174,-73.93094,Entire home/apt,120,4,1,2019-06-25,1,10
3927,3 COZY LIGHT ROOM BROOKLYN,Roman,Brooklyn,Sheepshead Bay,40.58624,-73.9448,Private room,50,1,5,2019-07-05,3,85
3928,Quality Cozy Studio Next to Subway,Rafael,Queens,Elmhurst,40.7347,-73.88065999999999,Entire home/apt,79,4,60,2019-06-25,2,297
3929,Private Room in Chelsea 3 BR,Zoë,Manhattan,Chelsea,40.74063,-73.99843,Private room,80,5,2,2016-10-29,1,0
3930,Rm @Top Floor of a Luxury Building!,Yegor,Brooklyn,Bushwick,40.69955,-73.92225,Private room,90,3,0,,1,0
3931,1 private bedroom in Williamsburg,Mo,Brooklyn,Williamsburg,40.70883,-73.94068,Private room,85,4,4,2015-09-19,1,0
3932,1 Bedroom Suite By LGA / JFK airports & NYC!,Aramis,Queens,East Elmhurst,40.76087,-73.88375,Private room,45,3,19,2019-04-10,2,0
3933,4BR 2 Bath Williamsburg Apt with Private Roof,Chandler,Brooklyn,Williamsburg,40.71204,-73.95245,Entire home/apt,650,2,1,2019-01-01,1,0
3934,Big Bright Beautiful Home in PRIME WIlliamsburg,Tatiana,Brooklyn,Williamsburg,40.71714,-73.95783,Private room,190,2,3,2019-01-02,1,0
3935,Spacious and sunny bedroom,Erica,Brooklyn,Williamsburg,40.70872,-73.95689,Private room,58,5,1,2015-12-18,1,0
3936,Beautiful and Spacious 2 bedroom West Harlem Apt.,Antoinette,Manhattan,Harlem,40.807390000000005,-73.95159,Entire home/apt,150,5,14,2019-06-20,1,66
3937,"Cozy, Cool, Mid Century Modern Apt in Boerum Hill",Michael,Brooklyn,Boerum Hill,40.68807,-73.98161,Entire home/apt,170,2,21,2018-08-21,1,9
3938,Cozy & Private Bedroom only 30-35 min to Manhattan,Luis,Brooklyn,Bedford-Stuyvesant,40.67989,-73.90857,Private room,55,1,102,2019-06-24,3,121
3939,COZY ONE BEDROOM APARTMENT IN MIDTOWN EAST,Ele,Manhattan,Midtown,40.75339,-73.96765,Entire home/apt,250,1,1,2018-11-24,1,64
3940,Charming NYC Guest Suite (Loft Room),Nina,Staten Island,Clifton,40.61595,-74.08535,Shared room,150,2,2,2018-11-04,7,312
3941,"Cozy 1 Bedroom in Brooklyn, near park and shops",Maureen,Brooklyn,Crown Heights,40.67143,-73.92971,Entire home/apt,83,30,7,2019-01-06,1,311
3942,beautifulROOM/Safe&comfortable/ near LG& JFK,Jay/Carolina Bastidas Family,Brooklyn,Cypress Hills,40.68258,-73.87731,Private room,50,7,1,2019-05-13,2,365
3943,Glendale apartment,Michelle,Queens,Glendale,40.69991,-73.88951999999999,Private room,50,7,17,2019-04-10,1,66
3944,Twin bed-Close to Columbia U & Central Park,Jaleh,Manhattan,Harlem,40.80172,-73.95538,Private room,100,1,226,2019-07-03,2,32
3945,Large Spacious Room For Rent,Cynthia,Manhattan,Morningside Heights,40.8067,-73.95799,Private room,107,6,12,2019-01-03,2,251
3946,Room in 3 bed apt/w parking- Wburg.,Austin,Brooklyn,Williamsburg,40.71614,-73.94134,Private room,55,2,0,,1,0
3947,Large Middle Bedroom & Private Backyard,Jamie,Brooklyn,Bedford-Stuyvesant,40.69415,-73.9481,Private room,45,4,41,2019-05-17,2,89
3948,Cool Large 3 bedrooms in the heart of East village,Sally,Manhattan,East Village,40.73037,-73.98158000000001,Entire home/apt,197,30,1,2018-03-10,4,191
3949,Sunny Private BR in Bedstuy Madison,Nina,Brooklyn,Bedford-Stuyvesant,40.68739,-73.93208,Private room,42,30,0,,27,0
3950,Gorgeous sky-lit 2BR,Jean & Gabriel,Brooklyn,Williamsburg,40.71362,-73.93561,Entire home/apt,175,3,199,2019-06-30,1,272
3951,Low Price Private Room,Shamyra,Queens,Ridgewood,40.70775,-73.90853,Private room,53,7,0,,2,0
3952,Spacious Serene Room Located in Prime E. Flatbush,Andre,Brooklyn,East Flatbush,40.63348,-73.94736999999999,Private room,95,1,20,2018-09-04,8,189
3953,Our recently rebuilt 19th century Brooklyn gem,Lior,Brooklyn,Bedford-Stuyvesant,40.68791,-73.95633000000001,Entire home/apt,300,5,0,,1,0
3954,A Room in Park Slope,Gladis,Brooklyn,Prospect Heights,40.68066,-73.97299,Private room,340,3,0,,1,83
3955,The Heart of Williamsburg Brooklyn,Julia,Brooklyn,Williamsburg,40.71586,-73.9391,Entire home/apt,120,2,15,2019-06-22,1,292
3956,"Sunny Apartment in Park Slope, Brooklyn",Shanee,Brooklyn,South Slope,40.66769,-73.98886,Entire home/apt,190,3,39,2019-06-25,2,226
3957,Brooklyn City Home,Miller,Brooklyn,Flatbush,40.633590000000005,-73.94915,Entire home/apt,58,2,28,2019-02-24,5,0
3958,Swimming Pool! 2 Bed 2 bath Amazing Layout!5143,Jeremy & Laura,Manhattan,Upper West Side,40.79371,-73.96708000000001,Entire home/apt,295,30,2,2018-04-01,96,250
3959,Private room in Williamsburg,Raffi,Brooklyn,Williamsburg,40.71776,-73.9605,Private room,70,5,1,2016-01-05,1,0
3960,Super Clean Room For 2 - Close To Metro,Garland,Brooklyn,Bedford-Stuyvesant,40.68985,-73.95317,Private room,45,5,38,2019-06-13,1,79
3961,Hostel - Full-sized Bed in Shared Room in Brooklyn,Nick,Brooklyn,Bushwick,40.70431,-73.91584,Shared room,25,4,17,2019-06-23,5,80
3962,Comfortable Studio Apartment!,Alexei,Bronx,Fordham,40.86665,-73.8954,Entire home/apt,80,3,26,2019-06-22,1,15
3963,Big Brooklyn Townhouse Sanctuary,Christina,Brooklyn,Crown Heights,40.67763,-73.94581,Entire home/apt,375,5,3,2018-08-11,2,22
3964,Dreamlike Soho loft and rooftop,John,Manhattan,SoHo,40.722190000000005,-74.0014,Entire home/apt,500,7,44,2017-09-25,2,365
3965,Entire Garden apartment in Brownstone,Evelyn,Brooklyn,Carroll Gardens,40.67982,-74.00038,Entire home/apt,185,2,25,2019-06-19,1,17
3966,Peaceful garden + private studio in the UES,Elena,Manhattan,Upper East Side,40.78057,-73.95186,Entire home/apt,248,4,3,2019-04-16,1,100
3967,Beautiful room in East Village spacious apartment,Adrian,Manhattan,East Village,40.72777,-73.97951,Private room,180,3,0,,1,91
3968,Private Room in Cozy East Village Apt,Marina,Manhattan,East Village,40.72286,-73.98025,Private room,100,2,0,,2,0
3969,Beautiful  room,Claudina,Brooklyn,Bedford-Stuyvesant,40.693290000000005,-73.93906,Private room,87,2,4,2019-05-24,5,337
3970,"Harlem, NY 
Historical Sugar Hill Neighborhood",David,Manhattan,Harlem,40.83117,-73.94281,Entire home/apt,200,1,3,2019-06-08,2,365
3971,Thelonious Monk room at The Harlem Townhouse,René,Manhattan,Harlem,40.80754,-73.95151,Private room,58,2,68,2019-06-26,4,1
3972,2 bedroom family residence in Gramercy!,Jacqueline,Manhattan,Chelsea,40.74117,-73.99951,Entire home/apt,300,4,0,,1,16
3973,Gorgeous bedroom w/ensuite bath-East Williamsburg,Melat,Brooklyn,Williamsburg,40.71395,-73.94022,Private room,65,1,2,2019-05-27,1,124
3974,Large cozy bedroom close to Times Square 43D4,John,Manhattan,Hell's Kitchen,40.75537,-73.995,Private room,54,30,2,2018-10-27,1,352
3975,Beautifully Renovated Small Mid Century Bedroom,Alexandra-Katherine,Manhattan,Lower East Side,40.72173,-73.9918,Private room,125,1,4,2019-07-07,2,165
3976,Studio Apartment with King Bed,Alec,Brooklyn,Gowanus,40.67872,-73.98286,Private room,119,1,171,2019-06-19,8,236
3977,"Unique loft in Bushwick - Offices, yoga & roof!",Julie,Brooklyn,Bushwick,40.69728,-73.93066,Entire home/apt,120,2,15,2019-03-10,1,61
3978,"East Village 3 Beds, 2 bedrooms. Sleeps 5  MAX",Michael,Manhattan,East Village,40.7276,-73.98635,Entire home/apt,219,1,101,2019-07-01,2,341
3979,Large 3 bedroom on Upper West Side,Christine,Manhattan,Upper West Side,40.80075,-73.9677,Entire home/apt,450,1,1,2016-12-30,1,121
3980,prime central park location - 2 mins to subway,Ariana,Manhattan,East Harlem,40.79247,-73.94892,Entire home/apt,109,1,8,2019-06-28,1,233
3981,Full private bathroom inside private room :),Andrea,Manhattan,Harlem,40.82499,-73.95374,Private room,75,3,8,2018-08-13,1,0
3982,"Bright and Warm place -
only 17min to Central Park",V,Queens,Woodside,40.75593,-73.90268,Private room,425,1,11,2018-03-01,2,0
3983,Vacate NYC.,Janei,Brooklyn,Bedford-Stuyvesant,40.67758,-73.92751,Private room,65,1,12,2019-06-29,1,179
3984,Room in a Lovely Apartment in Upper East Side,Amanda & Rafael,Manhattan,Upper East Side,40.76869,-73.95007,Private room,150,2,8,2019-02-10,1,0
3985,Cozy private room near cafes and subway,Kat,Brooklyn,Bedford-Stuyvesant,40.68649,-73.92255,Private room,107,2,1,2019-06-30,1,90
3986,Big & Bright Bed-Stuy Bushwick Border Boudoir,Lilly,Brooklyn,Bedford-Stuyvesant,40.68923,-73.92681999999999,Private room,50,30,4,2018-10-12,2,21
3987,Newly Renovated Mins from JFK & LGA,Rose,Queens,St. Albans,40.70828,-73.75276,Entire home/apt,120,3,59,2019-05-26,1,52
3988,bedroom,Austin,Brooklyn,Crown Heights,40.67305,-73.94533,Private room,85,1,1,2016-02-13,1,0
3989,Private Rm–Industrial Loft–Bushwick,Dan,Brooklyn,Williamsburg,40.70306,-73.93629,Private room,60,4,87,2019-06-27,1,96
3990,ENTIRE UNIT: MID TOWN NYC - GRAND CENTRAL STATION,James,Manhattan,Midtown,40.75343,-73.97313,Entire home/apt,119,3,0,,1,0
3991,Heart of Jamaica Queens,Monique,Queens,Jamaica,40.68684,-73.79921,Entire home/apt,80,2,13,2019-06-15,1,87
3992,"Sunny, Bright, Vibrant Apartment in Williamsburg!",Harmon,Brooklyn,Williamsburg,40.71419,-73.95042,Entire home/apt,200,7,0,,1,345
3993,阳台大双人房 (queens size room with balcony ),Li,Queens,Flushing,40.76316,-73.80869,Private room,55,1,0,,7,329
3994,Academic Summer Sublet/Sunset Park,Ayanna,Brooklyn,Sunset Park,40.64993,-74.00191,Private room,35,7,0,,1,0
3995,Private Room close to subway (1/3),Esteban,Queens,Jackson Heights,40.75526,-73.86468,Private room,75,1,114,2019-06-17,3,328
3996,Entire Apt in the center of NYC,Lixia,Manhattan,Hell's Kitchen,40.75464,-73.99542,Entire home/apt,120,2,9,2019-06-30,1,2
3997,Budget Basement,Faraz,Queens,Flushing,40.73968,-73.80601,Private room,80,1,9,2018-08-10,1,0
